"filename", "language", "JavaScript JSX", "Markdown", "JavaScript", "TypeScript JSX", "PostCSS", "JSON", "XML", "HTML", "MS SQL", "comment", "blank", "total"
"/Users/dragos/Code/Personal/cnb-cards/client/src/pages/CartPage.jsx", "JavaScript JSX", 191, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 213
"/Users/dragos/Code/Personal/cnb-cards/client/src/pages/CheckoutCancelPage.jsx", "JavaScript JSX", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 34
"/Users/dragos/Code/Personal/cnb-cards/client/src/pages/CheckoutSuccessPage.jsx", "JavaScript JSX", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 49
"/Users/dragos/Code/Personal/cnb-cards/client/src/pages/ContactPage.jsx", "JavaScript JSX", 268, 0, 0, 0, 0, 0, 0, 0, 0, 9, 13, 290
"/Users/dragos/Code/Personal/cnb-cards/client/src/pages/HomePage.jsx", "JavaScript JSX", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"/Users/dragos/Code/Personal/cnb-cards/client/src/pages/NotFoundPage.jsx", "JavaScript JSX", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"/Users/dragos/Code/Personal/cnb-cards/client/src/pages/ResetPasswordPage.jsx", "JavaScript JSX", 129, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 143
"/Users/dragos/Code/Personal/cnb-cards/client/src/pages/SealedBoxesPage.jsx", "JavaScript JSX", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 77
"/Users/dragos/Code/Personal/cnb-cards/client/src/pages/ShopPage.jsx", "JavaScript JSX", 183, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17, 203
"/Users/dragos/Code/Personal/cnb-cards/client/tailwind.config.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 1, 1, 19
"/Users/dragos/Code/Personal/cnb-cards/client/vite.config.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/Users/dragos/Code/Personal/cnb-cards/server/email-templates/reset-password.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 50, 0, 3, 1, 54
"/Users/dragos/Code/Personal/cnb-cards/server/migrations/001_create_products.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 24, 4, 4, 32
"/Users/dragos/Code/Personal/cnb-cards/server/migrations/002_create_orders.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 3, 20
"/Users/dragos/Code/Personal/cnb-cards/server/migrations/003_create_contact.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"/Users/dragos/Code/Personal/cnb-cards/server/migrations/004_add_user_id_to_orders.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 14, 4, 5, 23
"/Users/dragos/Code/Personal/cnb-cards/server/migrations/005_orders_stripe_session_unique.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
"/Users/dragos/Code/Personal/cnb-cards/server/migrations/006_decrement_stock_function.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 2, 12
"/Users/dragos/Code/Personal/cnb-cards/server/package-lock.json", "JSON", 0, 0, 0, 0, 0, 850, 0, 0, 0, 0, 1, 851
"/Users/dragos/Code/Personal/cnb-cards/server/package.json", "JSON", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 18
"/Users/dragos/Code/Personal/cnb-cards/server/setup-stripe.js", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 4, 9, 46
"/Users/dragos/Code/Personal/cnb-cards/server/src/db.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/dragos/Code/Personal/cnb-cards/server/src/index.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 6, 35
"/Users/dragos/Code/Personal/cnb-cards/server/src/routes/admin.js", "JavaScript", 0, 0, 73, 0, 0, 0, 0, 0, 0, 5, 15, 93
